nVertices-x,nVertices-y,nFaces-x,nFaces-y,position-x,position-y,aabbSize-x,aabbSize-y,angleX-x,angleX-y,angleY-x,angleY-y,angleZ-x,angleZ-y,totalAngle-x,totalAngle-y,totalFlip-x,totalFlip-y
0,0,0,0,0.0,380,0.0,0,0.0,304,0.0,108,0.0,128,0.0,80,-3,0
1000,0,2000,0,0.02,0,0.15,0,0.2,0,0.2,0,0.2,0,0.79,0,-2,0
2000,380,4000,380,0.04,0,0.3,0,0.39,0,0.39,0,0.39,0,1.57,0,-1,0
3000,0,6000,0,0.06,0,0.45,0,0.59,0,0.59,0,0.59,0,2.36,0,0,0
4000,0,8000,0,0.08,0,0.6,0,0.79,0,0.79,0,0.79,0,3.14,0,1,0
5000,0,10000,0,0.1,0,0.75,9,0.98,0,0.98,0,0.98,0,3.93,0,2,0
6000,0,12000,0,0.12,0,0.9,56,1.18,0,1.18,0,1.18,0,4.71,0,3,380
7000,0,14000,0,0.14,0,1.05,147,1.37,0,1.37,0,1.37,0,5.5,295,4,0
8000,0,16000,0,0.16,0,1.2,107,1.57,0,1.57,0,1.57,0,6.28,5,,
9000,0,18000,0,0.18,0,1.35,49,1.77,0,1.77,0,1.77,0,7.07,0,,
10000,0,20000,0,0.2,0,1.5,12,1.96,0,1.96,0,1.96,0,,,,
11000,0,22000,0,0.22,0,1.65,0,2.16,0,2.16,0,2.16,0,,,,
12000,0,24000,0,0.24,0,1.8,0,2.36,0,2.36,0,2.36,0,,,,
13000,0,26000,0,0.26,0,1.95,0,2.55,0,2.55,0,2.55,0,,,,
14000,0,28000,0,0.28,0,2.1,0,2.75,0,2.75,0,2.75,0,,,,
15000,0,30000,0,0.3,0,2.25,0,2.95,76,2.95,272,2.95,252,,,,
16000,0,32000,0,0.32,0,2.4,0,3.14,0,3.14,0,3.14,0,,,,
17000,0,34000,0,0.34,0,2.55,0,,,,,,,,,,
18000,0,36000,0,0.36,0,2.7,0,,,,,,,,,,
19000,0,38000,0,0.38,0,2.85,0,,,,,,,,,,
20000,0,40000,0,0.4,0,3.0,0,,,,,,,,,,
21000,0,42000,0,0.42,0,3.15,0,,,,,,,,,,
22000,0,44000,0,0.44,0,,,,,,,,,,,,
23000,0,46000,0,0.46,0,,,,,,,,,,,,
24000,0,48000,0,0.48,0,,,,,,,,,,,,
25000,0,50000,0,0.5,0,,,,,,,,,,,,
26000,0,52000,0,0.52,0,,,,,,,,,,,,
27000,0,54000,0,0.54,0,,,,,,,,,,,,
28000,0,56000,0,0.56,0,,,,,,,,,,,,
,,,,0.58,0,,,,,,,,,,,,
,,,,0.6,0,,,,,,,,,,,,
,,,,0.62,0,,,,,,,,,,,,
,,,,0.64,0,,,,,,,,,,,,
,,,,0.66,0,,,,,,,,,,,,
,,,,0.68,0,,,,,,,,,,,,
,,,,0.7,0,,,,,,,,,,,,
,,,,0.72,0,,,,,,,,,,,,
,,,,0.74,0,,,,,,,,,,,,
,,,,0.76,0,,,,,,,,,,,,
,,,,0.78,0,,,,,,,,,,,,
,,,,0.8,0,,,,,,,,,,,,
,,,,0.82,0,,,,,,,,,,,,
,,,,0.84,0,,,,,,,,,,,,
,,,,0.86,0,,,,,,,,,,,,
,,,,0.88,0,,,,,,,,,,,,
,,,,0.9,0,,,,,,,,,,,,
