file,nVertices,nFaces,position,aabbSize,angleX,angleY,angleZ,totalAngle,totalFlip
1_processed.off,2500,4996,1.1564155499854678e-07,1.05636465549469,1.6628211696456674e-08,3.141592502593994,3.141592502593994,6.283185005187988,3.0
2_processed.off,2500,4996,3.115854951829533e-08,1.132954478263855,6.850457623386319e-08,3.141592502593994,3.141592502593994,6.283185005187988,3.0
3_processed.off,2500,4996,1.5152687637964846e-07,1.1239137649536133,1.714105053451931e-07,1.5707963705062866,1.5707963705062866,3.1415929794311523,3.0
4_processed.off,2500,4996,1.6378687917040224e-07,1.1396894454956055,1.2976475716186542e-07,1.076014370937628e-07,1.0796136251656208e-07,3.4532754966676293e-07,3.0
5_processed.off,2500,5000,1.0448798093420919e-07,1.1733962297439575,1.9305758769405656e-07,1.5422891408434225e-08,4.562857469636583e-08,2.5410906800971134e-07,3.0
6_processed.off,2500,4996,5.81193617676945e-08,0.9826807379722595,7.137593183159652e-09,3.141592502593994,3.141592502593994,6.283185005187988,3.0
7_processed.off,2500,4996,3.9435260390519034e-08,1.0076862573623657,2.1447045028821776e-08,3.141592502593994,3.141592502593994,6.283185005187988,3.0
8_processed.off,2500,4996,7.21670856407286e-09,1.0607025623321533,6.997773027705989e-08,1.570796251296997,1.570796251296997,3.141592502593994,3.0
9_processed.off,2500,4996,7.173523641768043e-08,1.0531398057937622,2.7827368853650114e-07,1.570796251296997,1.570796251296997,3.1415927410125732,3.0
10_processed.off,2500,4996,1.2455869580207946e-07,1.131767988204956,8.125478068166103e-09,3.141592502593994,3.141592502593994,6.283185005187988,3.0
11_processed.off,2500,4996,5.990661833266131e-08,1.384448528289795,4.681436749365275e-08,3.141592502593994,3.141592502593994,6.283185005187988,3.0
12_processed.off,2500,4996,6.477825564843442e-08,1.3725119829177856,1.760319889854145e-08,3.141592502593994,3.141592502593994,6.283185005187988,3.0
13_processed.off,2500,4996,1.8000042700805352e-07,1.1112316846847534,1.550117616488933e-07,1.5707966089248657,1.5707966089248657,3.1415934562683105,3.0
14_processed.off,2500,4996,5.379250822556969e-08,1.368035912513733,3.141592025756836,3.141592025756836,4.767515520143206e-07,6.28318452835083,3.0
