file,nVertices,nFaces,position,aabbSize,angleX,angleY,angleZ,totalAngle,totalFlip
1.off,4706,9408,0.05548333376646042,1.9600226879119873,1.5731372833251953,1.570254921913147,1.5351974964141846,4.678589820861816,3.0
2.off,10050,20096,0.0008410713053308427,2.1711080074310303,1.547450065612793,1.5600825548171997,1.502162218093872,4.609694480895996,-3.0
3.off,5641,11278,0.16956837475299835,1.7368481159210205,1.592219352722168,1.6076384782791138,0.8158974051475525,4.0157551765441895,3.0
4.off,5676,11348,0.1782253086566925,1.728154182434082,1.6782076358795166,1.4328850507736206,2.504847764968872,5.615940093994141,-1.0
5.off,15154,30308,0.04682353883981705,2.3041563034057617,1.5450499057769775,1.5636645555496216,0.6617531180381775,3.770467758178711,-3.0
6.off,10098,20192,0.043792612850666046,1.8609145879745483,1.5741101503372192,1.5741047859191895,0.0039552669040858746,3.152170181274414,1.0
7.off,8441,16878,0.00452092569321394,1.976508617401123,1.5532065629959106,0.011326426640152931,1.5531556606292725,3.1176886558532715,1.0
8.off,11015,22026,0.0006513676489703357,2.0925586223602295,1.5875165462493896,0.9632130861282349,1.5587527751922607,4.109482765197754,-1.0
9.off,2639,5274,0.0036846576258540154,2.068403720855713,1.5865546464920044,0.9861791729927063,1.5578125715255737,4.130546569824219,-1.0
10.off,9508,19012,0.0045684752985835075,2.193011522293091,1.5703891515731812,1.5620542764663696,1.6026986837387085,4.735142230987549,-1.0
11.off,10999,21994,0.006366220768541098,2.5266518592834473,1.567762851715088,1.5722256898880005,1.5422799587249756,4.682268142700195,-1.0
12.off,5614,11224,0.001048751175403595,2.521493673324585,1.571714997291565,1.5680491924285889,1.5451265573501587,4.6848907470703125,-3.0
13.off,13703,27402,0.05611288547515869,2.2493157386779785,1.5555897951126099,1.575812578201294,0.7008260488510132,3.832228660583496,-3.0
14.off,5691,11378,0.16601897776126862,1.889266848564148,2.079331398010254,1.4675700664520264,2.2335002422332764,5.780401706695557,3.0
15.off,5631,11258,0.1623808890581131,1.7472987174987793,1.605131983757019,1.4697833061218262,2.7709529399871826,5.845868110656738,3.0
16.off,15223,30450,0.012137094512581825,2.1097071170806885,1.8284751176834106,1.555972933769226,0.8072885274887085,4.191736698150635,-3.0
17.off,15910,31816,0.031139368191361427,2.1401851177215576,1.8017855882644653,1.5989421606063843,0.6809680461883545,4.081695556640625,-1.0
18.off,15385,30766,0.04188009351491928,2.2188990116119385,1.8859333992004395,1.5695730447769165,2.3094561100006104,5.764962196350098,-3.0
19.off,15477,30950,0.02641422301530838,2.277651309967041,1.5331138372421265,1.554068922996521,0.6741474866867065,3.7613301277160645,-3.0
20.off,15700,31396,0.01609893888235092,2.2061057090759277,1.5557949542999268,1.5704684257507324,0.6573401689529419,3.7836036682128906,-3.0
21.off,15198,30396,0.040478333830833435,2.339916229248047,3.0369009971618652,1.5588785409927368,1.5828232765197754,6.178602695465088,1.0
22.off,15002,30004,0.07095939666032791,2.5922751426696777,0.020671404898166656,0.02253732457756996,0.00992200244218111,0.053130730986595154,3.0
23.off,15037,30074,0.03972771018743515,2.5001635551452637,0.040176231414079666,1.5571963787078857,1.5574098825454712,3.15478253364563,-1.0
24.off,15246,30492,0.06776821613311768,2.6304616928100586,0.017633646726608276,0.016381634399294853,0.022173184901475906,0.056188467890024185,3.0
25.off,15087,30170,0.06810247153043747,2.363698720932007,1.5626310110092163,1.5629682540893555,0.038173530250787735,3.1637728214263916,3.0
26.off,15209,30418,0.08963412046432495,2.3916566371917725,1.2044035196304321,1.5706239938735962,1.5698826313018799,4.344910144805908,3.0
27.off,15137,30274,0.05271058902144432,2.313255786895752,2.021353244781494,1.563049554824829,1.5790560245513916,5.163458824157715,3.0
28.off,15070,30140,0.0522792786359787,2.3714599609375,0.10245358943939209,1.6272510290145874,1.627434492111206,3.3571391105651855,1.0
29.off,15127,30254,0.09117839485406876,2.2547099590301514,0.951080858707428,1.583328366279602,1.5686841011047363,4.103093147277832,1.0
30.off,15006,30008,0.03009013645350933,2.1156506538391113,1.564658284187317,1.5638302564620972,0.17164693772792816,3.300135374069214,-3.0
31.off,15227,30454,0.05316230654716492,2.684417724609375,0.8777268528938293,0.877764880657196,0.007696486543864012,1.7631882429122925,1.0
32.off,14751,29502,0.0490955114364624,2.2547190189361572,1.0057018995285034,1.0062649250030518,0.03895781934261322,2.05092453956604,3.0
33.off,7349,14698,0.01825866475701332,2.520296573638916,3.124527931213379,0.15863540768623352,2.983832836151123,6.266996383666992,3.0
34.off,9602,19204,0.03838258981704712,2.545924425125122,1.5813438892364502,0.13070765137672424,1.5824416875839233,3.2944931983947754,-1.0
35.off,15136,30268,0.04237588495016098,2.065495491027832,1.5652743577957153,1.5763345956802368,3.113226890563965,6.254836082458496,-1.0
36.off,9076,18152,0.01368856430053711,2.5391364097595215,1.403328537940979,1.8102853298187256,2.7483623027801514,5.961976051330566,1.0
37.off,6270,12540,0.05637408047914505,2.5703818798065186,1.5169388055801392,1.5501165390014648,1.5445733070373535,4.611628532409668,-1.0
38.off,15064,30128,0.14908179640769958,2.476621150970459,2.361809253692627,0.779787003993988,3.1377153396606445,6.279311656951904,-1.0
39.off,15161,30322,0.09818533807992935,2.383202314376831,0.5919603109359741,2.546372652053833,3.052881956100464,6.191214561462402,3.0
40.off,15165,30326,0.03872288018465042,2.3512165546417236,1.5701234340667725,1.5691349506378174,0.532228410243988,3.6714868545532227,1.0
41.off,7016,14028,0.0201356690376997,1.5263824462890625,3.132385730743408,0.013529823161661625,3.1316661834716797,6.277581691741943,1.0
